Character,Gender,NumberOfAppearances,FirstAppearance,LastAppearance,ExitStatus,Born,Died,AgeEnterStreet,AgeLastOnStreet,YearsOnStreet,Returner,NumberTimesMarried,NumberChildren,Occupation,Industry,BigamyCommitted
Sylvia Goodwin,Female,161,2011-04-11,2013-08-02,Exit,1933-10-14,2019-01-23,77.49,79.8,2.31,False,2,2,Waitress,Accommodation & food services,False
Tanya Pooley,Female,143,1993-05-31,1994-09-23,Exit,,,,,1.31,False,0,0,Barmaid,Accommodation & food services,False
Tara Mandal,Female,54,2008-09-15,2009-05-11,Exit,,,,,0.65,False,0,0,Art gallery proprietor,Other services,False
Ted Page,Male,73,2008-04-28,2010-01-29,Exit,1940-02-01,2021-02-20,68.24,69.99,1.75,False,1,1,Businessman (Retired),Financial & insurance activities,False
Teresa Bryant,Female,105,2007-03-28,2010-05-14,Exit,1958-10-01,,48.49,51.62,3.13,False,1,5,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Terry Bradshaw,Male,48,1976-02-02,1976-12-22,Exit,,,,,0.89,False,0,0,Soldier,Public admin & defence; social security,False
Terry Duckworth,Male,365,1983-08-01,2012-05-11,Exit,1964-06-04,,19.16,47.93,9.91,True,1,3,Businessman,Financial & insurance activities,False
Tim Metcalfe,Male,1276,2013-01-21,,Alive,1972-01-28,,40.98,53.42,12.44,False,3,1,Co-owner of Street Cars,Transport & storage,True
Tina Fowler,Female,152,1989-03-13,1990-09-03,Exit,,,,,1.48,False,0,0,Barmaid,Accommodation & food services,False
Tina McIntyre,Female,870,2008-01-07,2014-06-02,Death,1991-02-18,2014-06-02,16.88,23.29,6.4,False,0,1,Barmaid,Accommodation & food services,False
Todd Grimshaw,Male,1253,2001-01-14,,Alive,1985-01-13,,16.0,40.46,12.46,True,0,1,Undertaker,Other services,False
Tom Ferguson,Male,58,1999-03-03,2000-01-28,Exit,1980-07-10,,18.64,19.55,0.91,False,0,0,Hairdresser,Other services,False
Tom Kerrigan,Male,69,2008-02-06,2009-04-24,Exit,1977-09-01,,30.43,31.64,1.21,False,0,0,Businessman,Financial & insurance activities,False
Tommy Duckworth,Male,445,1992-09-09,2013-10-13,Exit,1992-09-09,,0.0,21.09,7.09,True,0,0,Mechanic,"Wholesale, retail & repair of motor vehicles",False
Tommy Harris,Male,238,2002-11-13,2005-03-07,Death,1964-01-08,2005-03-04,38.85,41.15,2.31,False,1,2,Mechanic,"Wholesale, retail & repair of motor vehicles",False
Tony Gordon,Male,286,2007-09-16,2010-06-09,Death,1971-05-01,2010-06-01,36.38,39.09,2.71,False,2,0,Businessman,Financial & insurance activities,False
Tony Horrocks,Male,97,1995-11-22,1998-12-11,Death,1975-06-16,1999-02-06,20.44,23.64,3.21,False,0,0,Mechanic,"Wholesale, retail & repair of motor vehicles",False
Tony Stewart,Male,254,2003-03-02,2015-11-18,Death,1966-03-14,2016-04-22,36.97,50.11,2.14,True,0,1,Electrician,Construction,False
Toyah Habeeb,Female,1494,1997-07-04,,Alive,1982-05-28,,15.1,43.09,14.99,True,2,2,Counsellor  Waitress,Human health & social work activities,False
Tracy McDonald,Female,2601,1977-01-24,,Alive,1977-01-24,,0.0,48.43,38.43,True,4,1,Manager of Preston's Petals,"Wholesale, retail & repair of motor vehicles",False
Trevor Dean,Male,63,2010-01-28,2011-03-25,Exit,,,,,1.15,False,0,0,Bin man  Dishwasher  Factory worker,Manufacturing,False
Tricia Armstrong,Female,193,1994-03-07,1997-05-02,Exit,1960-02-22,,34.04,37.19,3.15,False,1,2,Cleaner,Administrative & support services,False
Tricia Hopkins,Female,122,1973-09-24,1976-06-09,Exit,1957-03-05,,16.56,19.26,2.71,False,0,0,Shop worker,"Wholesale, retail & repair of motor vehicles",False
Tyrone Dobbs,Male,2645,1998-11-30,,Alive,1982-12-17,,15.95,42.54,26.58,False,2,2,Co-owner of Websters' Auto Centre,"Wholesale, retail & repair of motor vehicles",False
Umed Alahan,Male,42,2009-03-09,2009-10-16,Exit,,,,,0.61,False,0,0,Shop owner,"Wholesale, retail & repair of motor vehicles",False
Valerie Barlow,Female,632,1961-08-07,1971-01-27,Death,1942-11-26,1971-01-27,18.7,28.17,9.47,False,1,2,Hairdresser,Other services,False
Vera Duckworth,Female,2275,1974-08-19,2008-01-18,Death,1937-09-03,2008-01-18,36.96,70.37,31.55,True,1,1,Waitress (retired),Accommodation & food services,False
Vera Hopkins,Female,31,1973-09-26,1975-02-10,Exit,1926-08-31,,47.07,48.45,1.37,False,1,1,Shopkeeper,"Wholesale, retail & repair of motor vehicles",False
Vernon Tomlin,Male,238,2005-12-02,2008-09-22,Exit,,,,,2.81,False,1,0,Musician,Other services,False
Vicky McDonald,Female,260,1990-01-05,1998-12-30,Exit,1977-01-08,,12.99,21.97,6.98,True,2,0,Wine bar proprietor,Accommodation & food services,False
Vikram Desai,Male,330,1999-02-07,2002-12-18,Exit,1979-02-20,,19.96,23.82,3.86,False,0,0,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Vinny Sorrell,Male,145,1999-08-02,2000-11-10,Exit,,,,,1.28,False,0,2,Barman,Accommodation & food services,False
Violet Wilson,Female,491,2004-10-08,2024-04-10,Exit,1980-01-01,,24.77,44.27,3.73,True,0,1,Barmaid,Accommodation & food services,False
Warren Baldwin,Male,73,2004-08-13,2006-11-22,Exit,1986-12-31,,17.62,19.89,2.28,False,0,0,Footballer,Other services,False
Wiki Dankowska,Female,145,2007-03-02,2009-02-06,Exit,,,,,1.94,False,0,1,Factory worker,Manufacturing,False
Yasmeen Metcalfe,Female,839,2014-07-04,2025-03-10,Exit,1953-09-16,,60.8,71.48,10.68,False,2,1,Charity worker,Other services,False
Zeedan Nazir,Male,420,2014-09-05,2023-02-20,Exit,1995-11-25,,18.78,27.24,5.46,True,2,0,Co-owner of Speed Daal Chef,Accommodation & food services,False
Zoe Tattersall,Female,126,1997-05-19,1998-12-16,Exit,1981-09-13,,15.68,17.26,1.58,False,0,1,,,False
